省名	省英文名	市名	市英文名	本省确诊人数	本省疑似人数	本省治愈人数	本省死亡人数	本市确诊人数	本市疑似人数	本市治愈人数	本市死亡人数	数据更新时间
河南省	Henan	信阳	Xinyang	1231	0	415	13	261	0	74	2	48:34.8
河南省	Henan	南阳	Nanyang	1231	0	415	13	151	0	52	2	48:34.8
河南省	Henan	郑州	Zhengzhou	1231	0	415	13	148	0	66	0	48:34.8
河南省	Henan	驻马店	Zhumadian	1231	0	415	13	138	0	64	0	48:34.8
河南省	Henan	商丘	Shangqiu	1231	0	415	13	91	0	30	2	48:34.8
河南省	Henan	周口	Zhoukou	1231	0	415	13	71	0	25	0	48:34.8
河南省	Henan	新乡	Xinxiang	1231	0	415	13	56	0	12	2	48:34.8
河南省	Henan	平顶山	Pingdingshan	1231	0	415	13	58	0	20	1	48:34.8
河南省	Henan	安阳	Anyang	1231	0	415	13	51	0	18	0	48:34.8
河南省	Henan	许昌	Xuchang	1231	0	415	13	38	0	8	0	48:34.8
河南省	Henan	漯河	Luohe	1231	0	415	13	34	0	12	0	48:34.8
河南省	Henan	焦作	Jiaozuo	1231	0	415	13	30	0	7	1	48:34.8
河南省	Henan	洛阳	Luoyang	1231	0	415	13	31	0	10	0	48:34.8
河南省	Henan	开封	Kaifeng	1231	0	415	13	26	0	7	0	48:34.8
河南省	Henan	鹤壁	Hebi	1231	0	415	13	19	0	4	0	48:34.8
河南省	Henan	濮阳	Puyang	1231	0	415	13	17	0	2	0	48:34.8
河南省	Henan	济源	Jiyuan	1231	0	415	13	4	0	0	0	48:34.8
河南省	Henan	三门峡	Sanmenxia	1231	0	415	13	7	0	4	0	48:34.8
河南省	Henan	待明确地区	Area not defined	1231	0	415	13	0	0	0	3	48:34.8
江苏省	Jiangsu	南京	Nanjing	617	0	207	0	92	0	29	0	48:34.8
江苏省	Jiangsu	苏州	Suzhou	617	0	207	0	86	0	26	0	48:34.8
江苏省	Jiangsu	徐州	Xuzhou	617	0	207	0	78	0	23	0	48:34.8
江苏省	Jiangsu	淮安	Huainan	617	0	207	0	63	0	21	0	48:34.8
江苏省	Jiangsu	连云港	Lianyungang	617	0	207	0	48	0	12	0	48:34.8
江苏省	Jiangsu	无锡	Wuxi	617	0	207	0	53	0	18	0	48:34.8
江苏省	Jiangsu	常州	Changzhou	617	0	207	0	46	0	20	0	48:34.8
江苏省	Jiangsu	南通	Nantong	617	0	207	0	40	0	15	0	48:34.8
江苏省	Jiangsu	泰州	Taizhou	617	0	207	0	37	0	16	0	48:34.8
江苏省	Jiangsu	盐城	Yancheng	617	0	207	0	27	0	9	0	48:34.8
江苏省	Jiangsu	扬州	Yangzhou	617	0	207	0	22	0	7	0	48:34.8
江苏省	Jiangsu	镇江	Zhenjiang	617	0	207	0	12	0	4	0	48:34.8
江苏省	Jiangsu	宿迁	Suqian	617	0	207	0	13	0	7	0	48:34.8
黑龙江省	Heilongjiang	哈尔滨	Harbin	445	0	73	11	182	0	30	3	48:34.8
